source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2023,40,Dr. A Vijayanand,Faculty of Arts & Humanities,SYSTEM ADDRESSING MIDDLE CLASS ISSUES ACCORDING TO CLIFFORD ODETS' WORK,16.06.2023,202321033942,Published,View
Patents 2023,41,Dr. A Vijayanand,Faculty of Arts & Humanities,VIRTUAL REALITY SYSTEM FOR EXPLORING LIFE IN INDIA DURING E.M. FORSTER'S 'A PASSAGE TO INDIA',16.06.2023,202321033944,Published,View
Patents 2023,42,"Dr. Sandip Tiwari,Ms. Rajni Yadav,Mr. Saurabh Sharma",Faculty of Pharmacy,CURCUMA ANGUSTIFOLIA POWDER BASED NUTRACEUTICAL BEVERAGE WITH HEALTH BENEFITS,16.06.2023,202321033952,Published,View
Patents 2023,43,Dr. A Vijayanand,Faculty of Arts & Humanities,AUTOMATED POETRY ANALYSIS SYSTEM,16.06.2023,202321033965,Published,View
Patents 2023,44,Ms. Neelam Ahirwar,Faculty of Science,TOXICOLOGICAL EVIDENCE IN FORENSIC PHARMACOLOGY,02.06.2023,202321030688,Published,View
Patents 2023,45,Dr. N. K. Chapekar,Faculty of Technology,IOT BASED WEARABLE MEDICAL MONITORING DEVICE,31.05.2023,387404-001,Published,View
Patents 2023,46,Dr. Sanyogita Sahi,Faculty of Science,DEVICE FOR DETECTING FRUIT QUALITY,23.05.2023,381302-001,Grant Design,View
Patents 2023,47,Ms. Ruchi Chandrakar,Faculty of Technology,"AN EXPERIMENTAL STUDY OF PARTIAL REPLACEMENT OF CEMENT IN CONCRETE WITH MARBALDUST POWDER AND RECKON FIBRE IS USED AS AN ADMIXTURE""",19.05.2023,202321006076,Published,View
Patents 2023,48,Ms. Riya Goel Dr. Sunayana Shukla,Faculty of Commerce & Management,MODEL FOR INFERRING PREFERENCE AND LIFESTYLE INFORMATION FROM IMAGES POSTED IN SOCIAL MEDIA,19.05.2023,202321006077,Published,View
Patents 2023,49,Ms. Priti Kumari,Faculty of Education,QUESTIONNAIRE FOR SURVEY: THE KNOWLEDGE OF VEDIC BELIEFS,19.05.2023,202321006080,Published,View
Patents 2023,50,Ms. Pooja P. Raj & Mrs. Swati Tiwari,Faculty of IT,REAL TIME LIP SYNCHRONIZATION IN TEXT TO SPEECH AND ROBOT MOUTH,19.05.2023,202321006070,Published,View
Patents 2023,51,Ms. Muskan Diwan & Ms. Neha Choithramani,Faculty of Commerce & Management,COST MANAGEMENT MODEL FOR REVIVAL OF PSUS,19.05.2023,202321006074,Published,View
Patents 2023,52,Mrs. Shilpa Sharma Dr. Abhishek Tripathi,Faculty of Commerce & Management,INVERTED ECONOMIC GROWTH MODEL DURING CRISIS.,19.05.2023,202321006073,Published,View
Patents 2023,53,Ms. Jasmine Joshi Ms. Mariyam Ahmed,Faculty of Commerce & Management,ACADEMIC HR PERFORMANCE MEASUREMENT USING BLOOM'S TAXONOMY,19.05.2023,202321006068,Published,View
Patents 2023,54,Mr. Om Prakash Dewangan Mr. Proshanta Sarkar,Faculty of IT,DEVICE TO TRACK THE PROBLEM IN THE OFFICE ENVIRONMENT AND TO OBTAIN SOLUTIONS USING THE MACHINE LEARNING ALGORITHM EMBEDDED INTO THE SYSTEM,19.05.2023,202321006088,Published,View
Patents 2023,55,Mr. Om Prakash Dewangan Mr. Proshanta Sarkar,Faculty of IT,THE ROLE OF THINGWORX AS INDUSTRIAL IOT IN INTERNET OF THINGS,19.05.2023,202321006083,Published,View
Patents 2023,56,Mr. Avtar Kishan Kaul,Faculty of Arts & Humanities,HUMAN RESOURCE MANAGEMENT PRACTICES AND CSR – A PRAGMATIC MODEL,19.05.2023,202321006085,Published,View
Patents 2023,57,Lt. Vibha Chandrakar,Faculty of Science,BODY IMAGE AND HIGH FASHION MODELS IN THE 21ST CENTURY,19.05.2023,202321006079,Published,View
Patents 2023,58,Dr. Vineeta Diwan,Faculty of Arts & Humanities,PRODUCTION OF VEGAN LEATHER FROM LOTUS TO PROMOTE AS SUSTAINABLE LEATHER INSTATE OF CHHATTISGARH,19.05.2023,202321006082,Published,View
Patents 2023,59,Dr. Vineeta Diwan,Faculty of Arts & Humanities,PRODUCTION OF FIBER FROM WATER HYACINTH AS AN INNOVATION IN HANDLOOM INDUSTRY AS A SOLUTION AGAINST WATER HYACINTH POLLUTION,19.05.2023,202321006086,Published,View
Patents 2023,60,Dr. Sushma Dubey,Faculty of Science,PRODUCTION OF BIOFUELS BIOETHANOL AND BIOGAS FROM WATER HYACINTH IN CHHATTISGARH,19.05.2023,202321006069,Published,View
Patents 2023,61,Dr. Sunayana Shukla & Ms. Riya Goel,Faculty of Commerce & Management,PSYCHOANALYTICAL MODEL DEPICTING THE EFFECT OF SUBLIMINAL MESSAGES IN ADVERTISEMENTS,19.05.2023,202321006072,Published,View
Patents 2023,62,Dr. Rajesh Kumar Manik,Faculty of Science,A PRACTICE OF PANCHA YOGABHYASA IN MANAGEMENT OF MIGRAINE HEADACHE,19.05.2023,202321006089,Published,View
Patents 2023,63,Dr. Paromita Banerjee,Faculty of Science,IDENTIFICATION OF MICROORGANISMS USING IOT/APP BASED METHODS,19.05.2023,202321006084,Published,View
Patents 2023,64,Dr. Deepa Biswas,Faculty of Science,PRODUCTION OF BIO-PESTICIDE BY LEMON GRASS PLANT (CYMBOPOGON CITRATUS),19.05.2023,202321006071,Published,View
Patents 2023,65,Dr. Amit Joshi Dr. Prashant Kumar,Faculty of Science,EPITOPE BASED VACCINE DESIGN AGAINST MONKEYPOX VIRUS BY DEPLOYING LATEST IMMUNOINFORMATICS APPROACH,19.05.2023,202321006081,Published,View
Patents 2023,66,Dr. Abhishek Tripathi Ms. Shinki K. Pandey,Faculty of Commerce & Management,VAR MODEL FOR MEASURING CRYPTOCURRENCY VOLATILITY,19.05.2023,202321006078,Published,View
Patents 2023,67,Dr. A Rajshekhar,Faculty of Arts & Humanities,HERBAL AGARBATTI (PROCESS PERCENT),19.05.2023,202321006087,Published,View
Patents 2023,68,Ms.Ruchi Chandrakar,Faculty of Technology,DEVICE TO ANALYSIS THE HEALTH OF CONCRETE BRIDGE,19.05.2023,379778-001,Published,View
Patents 2023,69,Dr. Prashant Kumar,Faculty of Science,TABLET DISSOLUTION TESTING APPARATUS,17.05.2023,379480-001,Published,View
Patents 2023,70,Dr. Asha Ambhaikar,Faculty of IT,MULTILAYERED TELE-HEALTHCARE DATA ANALYSIS SYSTEM,11.05.2023,202321033329,Published,View
Patents 2023,71,Dr. Sanyogita Shahi,Faculty of Science,DEVICE FOR MEASURING PH VALUE OF FLUID,08.05.2023,378180-001,Grant Design,View
Patents 2023,72,"Ms. Akanksha Mishra ,Ms Kirti Nahak ,Mrs. Divya ,Ms. Nikita Pathrotkar ,Ms. Anupa Sinha, Mr. Akash Pandey",Faculty of IT,MICROWAVE SENSOR BASED SOIL ANALYZER,01.05.2023,385422-001,Published,View
Patents 2023,73,Ms. Alka Pandey,Faculty of Commerce & Management,SYSTEM FOR REAL-TIME TRACKING AND MONITORING OF INVENTORY IN A SUPPLY CHAIN,28.04.2023,202321021542,Published,View
Patents 2023,74,Dr. Sanyogita Sahi,Faculty of Science,DEVICE FOR DETECTING FRUIT QUALITY,27.04.2023,6275901,Grant Design,View
Patents 2023,75,"Dr. Vijayalaxmi Biradar ,Mr. Anup Kumar Jana,Mr. Sarat Chandra Mohanty,Mrs. Anu G. Pillai,Mr. Pankaj Tiwari",Faculty of Technology,DIGITALIZATION OF EDUCATION- CHALLENGES AND MEASURES FOR PROMOTION INNOVATIVE TECHNOLOGY FOR DELIVERING EDUCATIONAL CONTENT IN A REMOTE LEARNING ENVIRONMENT,20.04.2023,202321028905,Published,View
Patents 2023,76,"Mr. Proshanta Sarkar, Mr. Om Prakash Dewangan, Ms. Pooja P. Raj, Mr. Kamlesh Kumar Yadav, Ms. Swati Tiwari, Mr. Pawan Kumar",Faculty of IT,MICROWAVE SENSOR BASED SOIL ANALYZER,28.03.2023,382437-001,Published,View
Patents 2023,77,Dr. Sanyogita Shahi,Faculty of Science,DEVICE FOR MEASURING PH VALUE OF FLUID,08.03.2023,6265148,Grant,View
Patents 2023,78,Dr. Abhishek Tripathi,Faculty of Commerce & Management,IMPACT OF DIGITAL ECONOMY GROWTH TOWARDS NON-DIGITAL SECTOR IN INDIA,27.01.2023,202321001222,Published,View
Patents 2023,79,Dr. Shraddha Verma,Faculty of Education,DEVICE FOR ANALYSING THE EMPLOYEE WORK CONTRIBUTION,27.01.2023,376509-001,Published,View
Patents 2023,80,Ms.Khushboo Gupta,Faculty of Pharmacy,NANOTECHNOLOGY APPROACH TO THE EFFECT OF TOPICAL CREAMS FOR TREATING BLOOD CANCER,20.01.2023,202311003020,Published,View
Patents 2023,81,"Dr. Shilpi Bhattacharya, Ms. Arunima Das",Faculty of Arts & Humanities,GENDER DECEPTION TRACKING DEVICE,18.01.2023,366069-001,Published,View
Patents 2023,82,Mrs. L Jyothi Reddy,Faculty of Arts & Humanities,AN ARTIFICIAL INTELLIGENCE (AI) BASED WATER RESOURCE MANAGEMENT SYSTEM,13.01.2023,202221075707,Published,View
Patents 2023,83,Ms. Abha Sahu,Faculty of Technology,"METHOD FOR CONVERTING A THREE-DIMENSIONAL LIDAR DATASET TO A PROJECTION SHAPE, AND A MULTI-CHANNEL TWO-DIMENSIONAL IMAGE FOR PERFORMING SEGMENTATION",13.01.2023,202241075293,Published,View
Patents 2022,1,Mr. Shailesh M Deshmukh Mr. Mahesh Ahuja,Faculty of Technology,AN IMPROVISED DESIGN AND DEVELOPMENT OF SOLAR CHARGING STATION FOR EV,30.12.2022,202241073518,Published,View
Patents 2022,2,Dr. Ranjeeta Singh,Faculty of Education,"LIBRARY AUTOMATION THROUGH RFID, IOT, AND AI: A SYSTEM AND METHOD FOR MANAGING BOOKS, ARTICLES, AND JOURNAL",16.12.2022,202211069521,Published,View
Patents 2022,3,Dr. Nishikant Chapekar Mr. Honey Gaur,Faculty of Technology,MICROSTRUCTURAL ANALYSIS OF RECYCLED AGGREGATE CONCRETE,14.10.2022,202221031563,Published,View
Patents 2022,4,Mr. Swapnil Shukla Mr. Kunal Dewangan,Faculty of Technology,DESIGN OF SUSTAINABLE LASER METAL DEPOSITION OF ALUMINIUM ALLOYS FOR ANTI-EROSION IN AUTOMOBILE INDUSTRY,02.10.2022,202211056598,Published,View
Patents 2022,5,Mr. Ravi Prakash Mohabia,Faculty of Technology,OFFICE POWER MANAGEMENT DEVICE,30.09.2022,363915-001,Published,View
Patents 2022,6,Ms. Priyanka Gupta Mr. Gaurav Tamrakar,Faculty of Science & Technology,ANALYSIS OF HEAVY METALS & PHYSICOCHEMICAL PROPERTIES IN GROUND WATER,12.08.2022,202221043674,Published,View
Patents 2022,7,Mr. Shailesh M Deshmukh,Faculty of Technology,SMART SOFT KEY DESIGN FOR ELECTRICAL SWITCHES,05.08.2022,202241041614,Published,View
Patents 2022,8,Dr. Asha Ambhaikar,Faculty of Technology,MULTIPROTOCOL SUPPORT MEDICAL EQUIPMENT INTEGRATION SYSTEM,15.07.2022,202221036157,Published,View
Patents 2022,9,Dr. Sanyogita Shahi,Faculty of Science,AN UNDECA SACCHARIDE RIBOSE STRUCTURE ISOLATED FROM GADDI SHEEP MILK,07.07.2022,202221039183,Published,View
Patents 2022,10,Dr. Khushboo Sahu,Faculty of Commerce & Management,CELEBRITY BRAND ENDORSEMENT AN EFFECTIVE STRATEGY TO GENERATE SALES,01.07.2022,202221033068,Published,View
Patents 2022,11,Dr. Krushna Chandra Dalai,Faculty of Law,LEGAL CLINIC TOOLS AND TECHNIQUES APPRAISAL,01.07.2022,202221033067,Published,View
Patents 2022,12,Mr. Kapil Kelkar,Faculty of Science,`INFLUENCE OF SOCIAL MEDIA ON FASHION INDUSTRY,01.07.2022,202221033066,Published,View
Patents 2022,13,Lt. Vibha Chandrakar,Faculty of Science,UNIQUE DEVICES USED IN FASHION INDUSTRY,01.07.2022,202221033069,Published,View
Patents 2022,14,Ms. Swati Agrawal,Faculty of Technology,ENVIRONMENTAL IMPACT OF LEACHATE POLLUTION OF GROUNDWATER SUPPLY,24.06.2022,202221032041,Published,View
Patents 2022,15,Dr. Asha Ambhaikar Dr. Rika Sharma,Faculty of Technology,IOT IN HEALTH CARE SYSTEMS,24.06.2022,202221031799,Published,View
Patents 2022,16,Dr. Byju John,Faculty of Commerce & Management,TRAINING NEED ANALYSIS,24.06.2022,202221032545,Published,View
Patents 2022,17,Dr. Byju John,Faculty of Commerce & Management,PERFORMANCE APPRAISAL SYSTEMS,24.06.2022,202221032546,Published,View
Patents 2022,18,Dr. R. Sridhar Ms. Rajni Yadav,Faculty of Commerce & Management,HERBAL GEL DIFFUSER FOR NASAL CONGESTION,24.06.2022,202221032552,Published,View
Patents 2022,19,Dr. Rika Sharma Dr. Asha Ambhaikar,Faculty of Technology,DATA SCIENCE IN CLIMATE CHANGE,24.06.2022,202221031800,Published,View
Patents 2022,20,Dr. Sandip Tiwari,Faculty of Pharmacy,DEVELOPMENT OF POLYMERIC NANOGEL FOR ATOPIC ECZEMA,24.06.2022,202221032550,Published,View
Patents 2022,21,Dr. Shilpi Bhattacharya,Faculty of Arts & Humanities,"BIOPOLITICS: A BLOT ON EXISTING REALITIES OF GENDER, CLASS,CASTE AND SEXUALITY WITH REFERENCE TO SALMAN RUSHDIE'S MIDNIGHT CHILDREN AND MAHASWETA DEVI’S MOTHER OF 1084",24.06.2022,202221032551,Published,View
Patents 2022,22,Dr. Vineeta Diwan Dr. Sushma Dubey,Faculty of Science,PRODUCTION AND PROMOTION OF LOTUS FIBER AS AN INNOVATION IN HANDLOOM SECTOR OF CHHATTISGARH,24.06.2022,202221032062,Published,View
Patents 2022,23,Mr. Akshit Lamba,Faculty of Technology,DESIGN AND SEISMIC ANALYSIS OF INTZE TYPE WATER TANK,24.06.2022,202221032040,Published,View
Patents 2022,24,Mr. Deependra Soni Dr. Sandip Prasad Tiwari,Faculty of Pharmacy,HERBAL AIR MICROBES STERILIZING STICK AND METHOD OF PREPARATION THEREOF,24.06.2022,202221032549,Published,View
Patents 2022,25,Mr. Honey Gaur,Faculty of Technology,REPLACEMENT OF COARSE AGGREGATES WITH JHAMA BRICKS FOR PREPARATION OF CONCRETE,24.06.2022,202221031798,Published,View
Patents 2022,26,Mr. Kushagra Pandey,Faculty of Technology,LOGISTIC MODEL FOR CHOICE BASED BEHAVIOR FOR AIRWAYS AND RAILWAYS TRAVELLERS IN INDIAN CONTEXT,24.06.2022,202221032058,Published,View
Patents 2022,27,Mr. Mahesh Ahuja,Faculty of Technology,INVENTION RELATES TO AN ARRANGEMENT AND A METHOD FOR IMPROVING POWER QUALITY USING DYNAMIC VOLTAGE RESTORER,24.06.2022,202221032553,Published,View
Patents 2022,28,Mr. Manas Rathore,Faculty of Technology,CONSTRUCTION PROJECT MANAGEMENT SYSTEM & METHOD,24.06.2022,202221032057,Published,View
Patents 2022,29,Mr. Omprakash Dewangan Mr. Kailash Prasad Dewangan,Faculty of Technology,MACHINE LEARNING ALGORITHM & USAGE,24.06.2022,202221032061,Published,View
Patents 2022,30,Mr. Shailesh M Deshmukh,Faculty of Technology,DESIGN OF MICROGRIDS FOR HYBRID ELECTRIC VEHICLES CHARGING STATIONS,24.06.2022,202221032059,Published,View
Patents 2022,31,Mr. Shashank Girhepunje Mrs. Avantika Singh,Faculty of Technology,NATURAL LANGUAGE PROCESSING ON SOCIAL MEDIA,24.06.2022,202221032547,Published,View
Patents 2022,32,Mrs. Kirti Sahu Tirpude Mr. Honey Gaur,Faculty of Technology,RESTORATION OF DISTRESSED FOUNDATION STRUCTURES,24.06.2022,202221032548,Published,View
Patents 2022,33,Mrs. Shikha Tiwari Dr. Guddi Singh,Faculty of Technology,DETECTION AND RECOGNITION OF DRONES BASED ON DEEP LEARNING,24.06.2022,202221032060,Published,View
Patents 2022,34,Mrs. Smita Premanand,Faculty of Science,SOLUTION OF WEAVER'S SURVIVAL PROBLEM IN THE HANDLOOM INDUSTRY,24.06.2022,202221032063,Published,View
Patents 2022,35,Ms. Rajni Yadav,Faculty of Pharmacy,DEVELOPMENT OF HYDROPHILIC HERBAL GEL FOR XEROSIS,17.06.2022,202221031565,Published,View
Patents 2022,36,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL POLYSACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP MILK,17.06.2022,202221031245,Published,View
Patents 2022,37,Dr. Sanyogita Shahi,Faculty of Science,A POLYSACCHARIDE RIBOSE STRUCTURE ISOLATED FROM GADDI SHEEP MILK,17.06.2022,202221031247,Published,View
Patents 2022,38,Dr. Namrata Shrivastava,Faculty of Arts & Humanities,IMPACT OF FDI INFLOWS AND EXPORTS ON INDIAN ECONOMY,17.06.2022,202221031401,Published,View
Patents 2022,39,Dr. Parakh Sehgal,Faculty of Science,GLOWY THE SOAPY-NATURALLY HERB BASED SKIN GLOW ENHANCER SOAP,17.06.2022,202221031561,Published,View
Patents 2022,40,Dr. Shilpi Bhattacharya Ms. Anurima Das,Faculty of Arts & Humanities,APPLICATION ACCEPTED CERTIFICATE OF DESIGN NOT GENERATED,15.06.2022,366069-001,Published,View
Patents 2022,41,Ms. Rajni Yadav,Faculty of Pharmacy,HERBAL COMPOSITION WITH ANTIMICROBIAL ACTIVITY,10.06.2022,202221030119,Published,View
Patents 2022,42,Mr. Sudeep Mandal,Faculty of Pharmacy,"PHYTOCHEMICAL SCREENING, ANTIMICROBIAL, AND ANTIOXIDANT FREE RADICAL SCAVENGING ACTIVITY OF ORTHOSIPHON PALLIDUS",15.04.2022,20011020408,Published,View
Patents 2022,43,Dr. Sushma Dubey,Faculty of Science,PRODUCTION AND CHARACTERIZATION OF ENZYME FROM DIFFERENT FUNGAL SPECIES ISOLATED FROM BIODETERIORATED PAINTING OF JOGIMARA CAVE: A BIOTECHNOLOGICAL ASPECT,14.01.2022,202121041555,Published,View
Patents 2022,44,Dr. Shilpi Shrivastava,Faculty of Science,HEAVY METAL CONTAMINATION DETECTING GLOVES,10.01.2022,356425-001,Published,View
Patents 2021,1,Dr. Asha Ambhaikar,Faculty of Technology,SECURE COMMUNICATION FOR IOT HEALTHCARE SYSTEM USING SIDECHAIN AND TRUST BASED ROUTING,10.12.2021,202121056329,Published,View
Patents 2021,2,Dr. Asha Ambhaikar,Faculty of Technology,AUGMENTATION OF E-VOTING INFORMATION IN SIDE CHAINS USING MACHINE LEARNING: A HIGH PERFORMANCE SYSTEM DESIGN,10.12.2021,202121056328,Published,View
Patents 2021,3,Dr. Shilpi Bhattacharya,Faculty of Arts & Humanities,INDIVIDUAL MORAL THINKING TOWARDS ENVIRONMENT ISSUES AND CONCERNS WITH SPECIAL REFERENCE TO THE NOVELS OF AMITAV CONCEPT THROUGH ATTAINMENT MODEL,26.11.2021,202121041552,Published,View
Patents 2021,4,Dr. Monika Sethi,Faculty of Commerce & Management,EXPERIENTIAL LEARNING FOR ENHANCING LEADERSHIP SKILLS IN GRADUATE AND UNDERGRADUATE STUDENTS OF MANAGEMENT,26.11.2021,202121041550,Published,View
Patents 2021,5,Dr. Monika Sethi,Faculty of Commerce & Management,TOTAL QUALITY MANAGEMENT (TQM)AND TOTAL PRODUCTIVE MAINTENANCE (TPM) IN LIVE PROJECTS OF GRADUATE STUDENTS OF MANAGEMENT,26.11.2021,202121041548,Published,View
Patents 2021,6,Dr. Monika Sethi,Faculty of Commerce & Management,EXPERIENTIAL LEARNING FOR CAREER DEVELOPMENT TRAINING FOR MANAGEMENT STUDENTS,26.11.2021,202121041558,Published,View
Patents 2021,7,Dr. R Sridhar,Faculty of Commerce & Management,DRIVING EXPERIENCE SIMULATION OF TWO WHEELER AND FOUR WHEELER,26.11.2021,202121041553,Published,View
Patents 2021,8,Dr. R Sridhar,Faculty of Commerce & Management,UNIQUE BUSINESS PROCESS,26.11.2021,202121041557,Published,View
Patents 2021,9,Dr. Byju John,Faculty of Commerce & Management,REVIEWING OF ORGANIZATION DEVELOPMENT INTERVENTIONS IN ORGANIZATIONS,26.11.2021,202121041559,Published,View
Patents 2021,10,Dr. Byju John,Faculty of Commerce & Management,STRATEGIC HUMAN RESOURCE MANAGEMENT,26.11.2021,202121041547,Published,View
Patents 2021,11,Mr. Sandeep Mishra,Faculty of Technology,IMAGE PROCESSING DETECT THE FACE AND DISPLAY THE REQUIRED OUTPUT INFORMATION,26.11.2021,202121041556,Published,View
Patents 2021,12,Mr. Honey Gaur,Faculty of Technology,DESIGN OF PERFORMANCE BASED CONCRETE USING SAND RECLAIMED FROM CONSTRUCTION AND DEMOLITION WASTE,26.11.2021,202121041551,Published,View
Patents 2021,13,Ms. Rajni Yadav,Faculty of Pharmacy,DEVELOPMENT OF COFFEE TABLET FOR ITS SKIN REJUVENATING EFFECT,26.11.2021,202121041554,Published,View
Patents 2021,14,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL POLYSACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (NATIONAL),19.11.2021,202121038593,Published,View
Patents 2021,15,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL DECCA SACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (NATIONAL),19.11.2021,202121035935,Published,View
Patents 2021,16,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL POLYSACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (NATIONAL),19.11.2021,202121035936,Published,View
Patents 2021,17,Dr.Sunil Kumar,Faculty of Technology,INTERNET ENABLED SINGLE LINE ELECTRICITY DISTRIBUTION & SYSTEM,03.09.2021,202121037967,Published,View
Patents 2021,18,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL POLYSACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (INTERNATIONAL),25.08.2021,2021107484,Grant,View
Patents 2021,19,Dr. Asha Ambhaikar,Faculty of Technology,SMART REFRIGERATOR USING IOT AND INTELLIGENT CLOUD FOR LIFE EXPEDIENCE,24.08.2021,2021106924,Grant,View
Patents 2021,20,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL POLYSACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (INTERNATIONAL),23.08.2021,2021106544,Grant,View
Patents 2021,21,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL TRISACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK AND THEIR BIOACTIVE PROPERTIES (INTERNATIONAL),21.08.2021,2021106363,Grant,View
Patents 2021,22,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL DECCA SACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (INTERNATIONAL),09.08.2021,2021106439,Grant,View
Patents 2021,23,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL TRISACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (INTERNATIONAL),30.07.2021,2021106392,Grant,View
Patents 2021,24,Dr. Sanyogita Shahi,Faculty of Science,THE BIOLOGICAL IMPORTANCE OF GADDI SHEEP'S MILK OLIGOSACCHARIDES (INTERNATIONAL),29.07.2021,2021104729,Grant,View
Patents 2021,25,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL TRISACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK AND THEIR BIOACTIVE PROPERTIES (NATIONAL),26.07.2021,202121033474,Published,View
Patents 2021,26,Dr. Sanyogita Shahi,Faculty of Science,A NOVEL TRISACCHARIDE STRUCTURE ISOLATED FROM GADDI SHEEP'S MILK (NATIONAL),26.07.2021,202121034415,Published,View
Patents 2021,27,Mr. Deependra Soni,Faculty of Pharmacy,NOVEL PHYTOACTIVE EXTRACTS BASED FORMULATIONS OF HELICTERES ISORA FOR MUSCULAR AND NERVINE DISORDERS,11.06.2021,201921050710,Published,View
Patents 2021,28,Dr. Asha Ambhaikar,Faculty of Technology,IOT BASED DEVICE FOR SOCIAL DISTANCING TO STOP SPREADING CORONAVIRUS,16.05.2021,2021102602,Grant,View
Patents 2021,29,Dr. Asha Ambhaikar,Faculty of Technology,"SCALABLE DATA PROCESSING FOR PREDICTION, BATCH COMPUTATION AND ANALYSIS AND RESPONSE TIMES USING GOOGLE BIGQUERY",16.04.2021,202121015868,Published,View
Patents 2021,30,Dr. Sanyogita Shahi,Faculty of Science,REMOVAL OF ENVIRONMENTAL POLLUTION BY ENHANCING GROWTH OF TRICHODERMA USING OLIGOSACCHARIDES EXTRACTED FROM GADDI SHEEP'S MILK,25.03.2021,2021101308,Grant,View
Patents 2021,31,Mr. Om Prakash Dewangan,Faculty of Technology,STRESS AND EMOTIONS DETECTING CAP,08.03.2021,340329-001,Published,View
Patents 2021,32,Dr. Asha Ambhaikar,Faculty of Technology,AES AND RSA-BASED HYBRID ALGORITHMS FOR MESSAGE ENCRYPTION & DECRYPTION,26.02.2021,202121007215,Published,View
Patents 2021,33,Dr. Asha Ambhaikar,Faculty of Technology,BIG DATA SECURITY ENHANCEMENT BASED INTRUSION DETECTION SYSTEM USING K-MEAN CLUSTERING OF DECOMPOSITED FEATURES,12.02.2021,202121004801,Published,View
Patents 2021,34,Dr. Paritosh Dube,Faculty of Commerce & Management,ADVANCED SUPPLY CHAIN LINK PERFORMANCE AND FINANCIAL STATEMENT ANALYZER,22.01.2021,202021055414,Published,View
Patents 2021,35,Mr. Rahul Mishra,Faculty of Technology,INTELLIGENT DATASET DISCOVERY IN DATA ANALYTICS AND MACHINE LEARNING ALGORITHM,22.01.2021,202021055415,Published,View
Patents 2021,36,Dr. Shilpi Shrivastava,Faculty of Science,INTELLIGENT METHOD AND PROCESS TO EXTRACTION OF SILICA FROM RICE HULLS,22.01.2021,202021055416,Published,View
Patents 2021,37,Mr. Sudeep Kumar,Faculty of Pharmacy,"HERBAL DISINFECTANT (LIQUID, POWDER, SEMI- LIQUID) FOR PANDEMIC CONDITION (COVID19)",22.01.2021,202021055417,Published,View
Patents 2021,38,Mrs. Shobha Singh Thakur,Faculty of Law,ANALYSIS OF THE VARIOUS SCHOOLS OF THOUGHT IN RELATION TO THE MEANING OF LAW,22.01.2021,202021055418,Published,View
Patents 2021,39,Mr. Rahul Chawda,Faculty of IT,ADVANCED MOBILE AD HOC NETWORK (MANET) PROVIDING CONNECTIVITY ENHANCEMENT SYSTEM,22.01.2021,202021055419,Published,View
Patents 2021,40,Dr. M.S. Mishra,Faculty of Arts & Humanities,HUMAN ACTIVITY RECOGNITION USING SMARTPHONE,22.01.2021,202021055420,Published,View
Patents 2021,41,Dr. Harsha Patil,Faculty of Education,ADVANCED QUANTUM COMPUTING INTEGRATED DEVELOPMENT EDUCATION ENVIRONMENT USING IOT-BASED SYSTEM,22.01.2021,202021055421,Published,View
Patents 2021,42,Dr. Sanyogita Shahi,Faculty of Science,THE BIOLOGICAL IMPORTANCE OF GADDI SHEEP'S MILK OLIGOSACCHARIDES (NATIONAL),01.01.2021,202021051972,Published,View
Patents 2021,43,Dr. Sanyogita Shahi,Faculty of Science,GADDI SHEEP'S MILK OLIGOSACCHARIDES; IMPLEMENTATION ON ENVIRONMENT,01.01.2021,202021051896,Published,View
Patents 2021,44,Suman Kumar Swarnkar,Faculty of Technology,OPTIMIZED CONVOLUTION NEURAL NETWORK (OCNN) FOR VOICE-BASED SIGN LANGUAGE RECOGNITION: OPTIMIZATION & REGULARIZATION,31.07.2020,202021030006,Published,View
patents-2025,1,"Dr. Rahul Mishra
 Dr. Ruchi Chandrakar",Faculty of Engineering,AI Based Humanoid Robot for Surveillance and Security,17.07.2025,455109-001,Grant Design,
patents-2025,2,Jharna Maiti,Faculty of Science,Biosensor-based Detection Device for Cancerous Cells,07.07.2025,6442561,Grant Design,
