source_table,Sr. No,Name,Topic,Date of Publication,Application Number,Status,col7,col8
Patents 2024,90,"""Dr. Shilpi Bhattacharya
Ms. Sonal Singh""",Faculty of Arts & Humanities,A SYSTEM OF REINFORCEMENT LEARNING FRAMEWORK FOR PERSONALIZED CONTENT RECOMMENDATIONS,25.10.2024,202421069401,Published,View
Patents 2024,91,"""Dr. Vivek Malik
Dr. Narendra Kumar Singh""",Faculty of Law,A METHOD FOR AI-BASED LITERARY ANALYSIS AND INTERPRETATION,25.10.2024,202421069402,Published,View
Patents 2024,92,"""Dr. Swati Agrawal
Dr. Akshit Lamba""",Faculty of Engineering,A METHOD FOR PREDICTIVE ENVIRONMENTAL MODELING USING MACHINE LEARNING ALGORITHMS,25.10.2024,202421069403,Published,View
Patents 2024,93,"""Ms. Surbhi Agrawal
Mr. Ranjan Kumar Ray""",Faculty of Law,A SYSTEM FOR AI-POWERED LEGAL RESEARCH TOOL FOR JURISPRUDENCE IN INTELLECTUAL PROPERTY LAW,25.10.2024,202421070392,Published,View
Patents 2024,94,"""Mr. Soumyadeep Chakrabarti
Ms. Akanksha Choudhry""",Faculty of Law,A SYSTEM FOR AUTOMATED LEGAL RISK ASSESSMENT TOOL FOR INTERNATIONAL PATENT DISPUTES,25.10.2024,202421070760,Published,View
Patents 2024,95,"""Dr. Pawan Kumar
Mr. Suresh Chandra Yadav""",Faculty of Law,A BLOCKCHAIN-BASED DIGITAL RIGHTS MANAGEMENT SYSTEM FOR COPYRIGHTED WORKS,25.10.2024,202421071275,Published,View
Patents 2024,96,"""Ms. Ekta Chandrakar
Ms. Paluk Sharma""",Faculty of Law,A SYSTEM FOR AUTOMATED LEGAL SUPPORT PLATFORM FOR SEXUAL ASSAULT SURVIVORS,25.10.2024,202421070761,Published,View
Patents 2024,97,"""Mr. Birendra Kumar",Faculty of Law,A SYSTEM FOR AUTOMATED POLLUTION DATA COLLECTION AND LEGAL COMPLIANCE PLATFORM,25.10.2024,202421070762,Published,View
Patents 2024,98,"Mr. Brijmohan Singh""",Faculty of Law,A BLOCKCHAIN-BASED CHAIN OF CUSTODY SYSTEM FOR CRIMINAL INVESTIGATIONS,25.10.2024,202421071274,Published,View
Patents 2024,99,"""Mr. Vijay Shankar Yadav
Mr. Arvind Kumar Yadav""",Faculty of Arts & Humanities,A METHOD FOR AI-BASED HINDI LANGUAGE PROCESSING AND TRANSLATION,25.10.2024,202421069404,Published,View
Patents 2024,100,"""Dr. Ajay Kumar Shukla
Dr. Shraddha Hirkane""",Faculty of Arts & Humanities,A METHOD FOR AI-BASED POLICY IMPACT ANALYSIS AND PREDICTION,25.10.2024,202421069405,Published,View
Patents 2024,101,"Ms. Jesika Minj
""Mr. Shailesh Singh Thakur
Dr. Vinay Chandra Jha""",Faculty of Engineering,A METHOD FOR AUTOMATED QUALITY CONTROL IN MECHANICAL FABRICATION,25.10.2024,202421069416,Published,View
Patents 2024,102,"""Mr. Vinay Kumar Jaiswal
Mr. Harish Jaiswal""",Faculty of Pharmacy,QUANTUM COMPUTING-BASED METHOD FOR DRUG COMPOUND OPTIMIZATION,25.10.2024,202421070393,Published,View
Patents 2024,103,"""Mr. Arvind Kumar Yadav
Mr. Vijay Shankar Yadav""",Faculty of Law,AN AI-POWERED LAND REGISTRY SYSTEM FOR EFFICIENT PROPERTY MANAGEMENT,25.10.2024,202421070394,Published,View
Patents 2024,104,"""Mr. Venu Anand Das
Ms. Poorti Sharma""",Faculty of Pharmacy,AI-POWERED METHOD FOR IDENTIFYING NOVEL DRUG TARGETS IN RARE DISEASES,25.10.2024,202421070395,Published,View
Patents 2024,105,"""Mr. Sandeep Roy
Mr. Rajendra Kumar Sahu""",Faculty of Engineering,A METHOD FOR ADAPTIVE ENERGY CONSUMPTION FORECASTING,25.10.2024,202421069417,Published,View
Patents 2024,106,"""Dr. Shailesh Deshmukh
Mr. Chandra Kumar Sahu""",Faculty of Engineering,A METHOD FOR PREDICTIVE MAINTENANCE OF ELECTRICAL EQUIPMENT,25.10.2024,202421069418,Published,View
Patents 2024,107,"""Dr. Rahul Mishra
Dr. Naresh Chutney""",Faculty of Engineering,A METHOD FOR ADAPTIVE PREDICTIVE MAINTENANCE OF A MECHANICAL SYSTEM USING MULTI-MODAL,25.10.2024,202421069419,Published,View
Patents 2024,108,"""Ms. Prachi Gurudiwan
Mr. Sanjay Kumar Mire""",Faculty of Pharmacy,AI-BASED METHOD FOR ACCELERATING ORPHAN DRUG DISCOVERY,25.10.2024,202421070396,Published,View
Patents 2024,109,"""Mrs. Hemlata Dewangan
Mr. Chandra Pratap Dhimar""",Faculty of Pharmacy,AUTOMATED DRUG REPOSITIONING METHOD USING BIG DATA ANALYTICS,25.10.2024,202421070397,Published,View
Patents 2024,110,"""Ms. Lipsa Dash
Ms. Urvashi Sharma""",Faculty of Science,AI-DRIVEN METHOD FOR ACCELERATED DRUG DISCOVERY USING GENOMIC DATA,25.10.2024,202421070399,Published,View
Patents 2024,111,"""Ms. Tripti Dewangan
Ms. Naina Bhoyar""",Faculty of Pharmacy,AI-ENHANCED METHOD FOR SCREENING AND DEVELOPING BIOPHARMACEUTICALS,25.10.2024,202421070400,Published,View
Patents 2024,112,"""Mr. Ayush Gondale
Mrs. Samriddhi Kesharwani""",Faculty of Law,A SYSTEM FOR AI-DRIVEN IP INFRINGEMENT DETECTION AND ENFORCEMENT PLATFORM,25.10.2024,202421070401,Published,View
